question,pmid,adaptation,sent_id,source,target,operation
1,15902691,adaptation2,1,"Muscle cramps are a common problem characterized by a sudden, painful, involuntary contraction of muscle.","Muscle cramps are a common problem represented by sudden, painful, involuntary muscle contractions.",Substitution
1,15902691,adaptation2,2,"These true cramps, which originate from peripheral nerves, may be distinguished from other muscle pain or spasm.","These true cramps, coming from nerves outside the brain and spinal cord, may be identifiable from other muscle pains.",Substitution
1,15902691,adaptation2,3,"Medical history, physical examination, and a limited laboratory screen help to determine the various causes of muscle cramps.","Medical history, physical check-up, and lab screenings help determine different causes of muscle cramps.",Generalization
1,15902691,adaptation2,4,"Despite the ""benign"" nature of cramps, many patients find the symptom very uncomfortable.","Despite their harmless nature, cramps are uncomfortable for many.",Generalization
1,15902691,adaptation2,5,Treatment options are guided both by experience and by a limited number of therapeutic trials.,Experience and limited medical studies guide treatment.,Generalization
1,15902691,adaptation2,6,"Quinine sulfate is an effective medication, but the side-effect profile is worrisome, and other membrane-stabilizing drugs are probably just as effective.","Quinine sulfate (an antimalarial drug) helps, but its side-effects are problematic. Similar drugs may be just as helpful.",Substitution
1,15902691,adaptation2,7,Patients will benefit from further studies to better define the pathophysiology of muscle cramps and to find more effective medications with fewer side-effects.,More studies are needed to better define the effects of muscle cramps and find better medications.,Generalization
1,25432724,adaptation2,1,The dystonias are a group of disorders characterized by excessive involuntary muscle contractions leading to abnormal postures and/or repetitive movements.,Dystonias are disorders with a lot of uncontrollable muscle contractions leading to awkward poses and/or repetitive movements.,Generalization
1,25432724,adaptation2,2,A careful assessment of the clinical manifestations is helpful for identifying syndromic patterns that focus diagnostic testing on potential causes.,Checking the symptoms can help identify patterns that focus identification testing on possible causes.,Generalization
1,25432724,adaptation2,3,"If a cause is identified, specific etiology-based treatments may be available.","If a cause is found, specific cause-based treatments may be available.",Substitution
1,25432724,adaptation2,4,"In most cases, a specific cause cannot be identified, and treatments are based on symptoms.","In most cases, a specific cause cannot be found, and treatments are based on symptoms.",Substitution
1,25432724,adaptation2,5,"Treatment options include counseling, education, oral medications, botulinum toxin injections, and several surgical procedures.","Treatment includes counseling, education, oral medications, botox (used as a muscle relaxant), and surgeries.",Substitution
1,25432724,adaptation2,6,A substantial reduction in symptoms and improved quality of life is achieved in most patients by combining these options.,A noticeable decrease in symptoms and improved quality of life is achieved in most patients by combining these options.,Substitution
1,29763070,adaptation2,1,"Muscle cramps result in continuous, involuntary, painful, and localized contraction of an entire muscle group, individual single muscle, or select muscle fibers.","Muscle cramps cause constant and unintended contraction of muscles, causing pain. They can occur for individual muscles, groups of muscles, or small parts of muscles.",Substitution
1,29763070,adaptation2,2,"Generally, the cramp can last from minutes to a few seconds for idiopathic or known causes with healthy subjects or in the presence of diseases.","A cramp usually lasts seconds or minutes, regardless of cause and how healthy you are.",Generalization
1,29763070,adaptation2,3,Palpating the muscle area of the cramp will present a knot.,A knot (hard area) can be felt beneath the skin where the cramp is.,Explanation
1,29763070,adaptation2,4,Exercise-associated muscle cramps are the most frequent condition requiring medical/therapeutic intervention during sports.,Muscle cramps are the most common reason for seeking medical help during sports.,Substitution
1,29763070,adaptation2,5,The specific etiology is not well understood and possible causes depend on the physiological or pathological situation in which the cramps appear.,We still don't know why muscle cramps happen. Causes may also depend on the person and the situation.,Generalization
1,29763070,adaptation2,6,It is important to note that a painful contraction that is limited to a specific area does not mean that the cause of the cramp is necessarily local.,"Importantly, even though the pain of a muscle cramp can be in a specific area, the cause may lie elsewhere.",Generalization
1,29763070,adaptation2,7,"A cramp is almost never a local effect but involves the whole body system, such as somatic and emotional.","A cramp can almost never be explained just by local effects, and it involves both the whole body and your emotional state.",Explanation
1,29857264,adaptation2,1,Exercise-Associated Muscle Cramps (EAMC) are a common painful condition of muscle spasms.,"Exercise-Associated Muscle Cramps (EAMC) are a common type of muscle spasm, in which a muscle continually contracts without intention, causing pain.",Explanation
1,29857264,adaptation2,2,"Despite scientists tried to understand the physiological mechanism that underlies these common phenomena, the etiology is still unclear.","Scientists have tried to explain why these cramps happen, but have not been able to.",Generalization
1,29857264,adaptation2,3,"From 1900 to nowadays, the scientific world retracted several times the original hypothesis of heat cramps.",An idea commonly returned to throughout the years is that EAMCs may be caused by heat.,Substitution
1,29857264,adaptation2,4,"However, recent literature seems to focus on two potential mechanisms: the dehydration or electrolyte depletion mechanism, and the neuromuscular mechanism.","Recently, though, more likely explanations are thought to include dehydration, lack of electrolytes, or issues with the nerves connecting to the muscles.",Substitution
1,29857264,adaptation2,5,"The aim of this review is to examine the recent literature, in terms of physiological mechanisms of EAMC.",The aim of this review is to look at recent research into how and why EAMCs happen.,Substitution
1,29857264,adaptation2,6,A comprehensive search was conducted on PubMed and Google Scholar.,We searched common online resources for papers.,Generalization
1,29857264,adaptation2,7,"The following terminology was applied: muscle cramps, neuromuscular hypothesis (or thesis), dehydration hypothesis, Exercise-Associated muscle cramps, nocturnal cramps, muscle spasm, muscle fatigue.","For search terms, we used: muscle cramps, neuromuscular hypothesis (or thesis), dehydration hypothesis, Exercise-Associated muscle cramps, nocturnal cramps, muscle spasm, muscle fatigue.",Substitution
1,29857264,adaptation2,8,"From the initial literature of 424 manuscripts, sixty-nine manuscripts were included, analyzed, compared and summarized.",The search returned 424 papers. We read and analyzed 69 of them.,Generalization
1,29857264,adaptation2,9,Literature analysis indicates that neuromuscular hypothesis may prevails over the initial hypothesis of the dehydration as the trigger event of muscle cramps.,"From the latest evidence, interactions of nerves with muscles explains muscle cramps better than dehydration.",Generalization
1,29857264,adaptation2,10,"New evidence suggests that the action potentials during a muscle cramp are generated in the motoneuron soma, likely accompanied by an imbalance between the rising excitatory drive from the muscle spindles (Ia) and the decreasing inhibitory drive from the Golgi tendon organs.",Muscle contraction is normally balanced by special cells in the muscles that sense how stretched or contracted the muscles are. Recent findings suggest malfunctions in these sensor cells result in spinal nerves sending unnecessary signals for the muscles to contract.,Substitution
1,29857264,adaptation2,11,"In conclusion, from the latest investigations there seem to be a spinal involvement rather than a peripheral excitation of the motoneurons.","In summary, the signal causing muscles to contract during a spasm seems to come from the spine rather than the nerve endings within the muscles.",Explanation
1,30168894,adaptation2,1,"Muscular cramp is a common symptom in healthy people, especially among the elderly and in young people after vigorous or peak exercise.","Muscle cramps are common in healthy people, especially in the elderly and young people after intense exercise.",Generalization
1,30168894,adaptation2,2,It is prominent in a number of benign neurological syndromes.,Cramps are in many harmless brain-related disorders.,Generalization
1,30168894,adaptation2,3,"It is a particular feature of chronic neurogenic disorders, especially amyotrophic lateral sclerosis.","Cramps are common in long-lasting, brain-related disorders like amyotrophic lateral sclerosis which weakens muscles.",Substitution
1,30168894,adaptation2,4,"A literature review was undertaken to understand the diverse clinical associations of cramp and its neurophysiological basis, taking into account recent developments in membrane physiology and modulation of motor neuronal excitability.",We reviewed the basis and biological mechanisms of cramps.,Generalization
1,30168894,adaptation2,5,Many aspects of cramping remain incompletely understood and require further study.,Future studies are needed to understand cramps.,Generalization
1,30168894,adaptation2,6,Current treatment options are correspondingly limited.,Current treatment is limited.,Generalization
1,30237473,adaptation2,1,Dystonia is a neurological condition characterized by abnormal involuntary movements or postures owing to sustained or intermittent muscle contractions.,Dystonia is a disorder of the nervous system. It involves unusual posture or parts of your body moving in ways you can't control.,Explanation
1,30237473,adaptation2,2,"Dystonia can be the manifesting neurological sign of many disorders, either in isolation (isolated dystonia) or with additional signs (combined dystonia).","Dystonia could be a sign of many underlying disorders, sometimes with other symptoms and sometimes not.",Generalization
1,30237473,adaptation2,3,The main focus of this Primer is forms of isolated dystonia of idiopathic or genetic aetiology.,We will focus on dystonia without other symptoms. This can be hereditary or have an unknown origin.,Substitution
