source,simplified
"Hyperkalemia is a potentially life-threatening metabolic problem caused by inability of the kidneys to excrete potassium, impairment of the mechanisms that move potassium from the circulation into the cells, or a combination of these factors.","Hyperkalemia is a potentially life-threatening metabolic problem caused by inability of the kidneys to excrete potassium, impairment of the mechanisms that move potassium from the circulation into the cells, or a combination of these factors."
Intravenous calcium is effective in reversing electrocardiographic changes and reducing the risk of arrhythmias but does not lower serum potassium.,Intravenous calcium is effective in reversing electrocardiographic changes and reducing the risk of arrhythmias but does not lower serum potassium.
Summary: Current treatment options for the management of hyperkalemia are limited and often accompanied by serious adverse effects.,Current treatment options for the management of hyperkalemia are limited and often accompanied by serious adverse effects.
"The overall frequency of adverse effects in these clinical trials was low, with gastrointestinal adverse events being the most commonly observed.","The overall frequency of adverse events in these clinical trials was low, with gastrointestinal adverse events being the most commonly observed."
"Hyperkalemia is a frequent clinical abnormality in patients with chronic kidney disease, and it is associated with higher risk of mortality and malignant arrhythmias.","Hyperkalemia is a frequent clinical abnormality in patients with chronic kidney disease, and it is associated with higher risk of mortality and malignant arrhythmias."
"Hyperkalemia is a frequent clinical abnormality in patients with chronic kidney disease, and it is associated with higher risk of mortality and malignant arrhythmias.","Hyperkalemia is a frequent clinical abnormality in patients with chronic kidney disease, and it is associated with higher risk of mortality and malignant arrhythmias."
"Purpose of review: Hyperkalemia is a potentially fatal electrolyte disorder, more commonly present when the potassium excretion capacity is imparied.","Hyperkalemia is a potentially fatal electrolyte disorder, more commonly present when the potassium excretion capacity is imparied."
"Patients with end-stage renal disease (ESRD) on maintenance dialysis have a high risk of developing hyperkalemia, generally defined as serum potassium (K+) concentrations of >5.0 mmol/l, particularly those undergoing maintenance hemodialysis.","Patients with end-stage renal disease (ESRD) on maintenance dialysis have a high risk of developing hyperkalemia, generally defined as serum potassium (K+) concentrations of >5.0 mmol/l, particularly those undergoing maintenance hemodialysis."
"In addition, we examine the potential nondialysis options for the management of these patients, including use of the newer K+ binder agents patiromer and sodium zirconium cyclosilicate, which may reduce the need for the highly restrictive dialysis diet, with its own implication on nutritional status in patients with ESRD, as well as reducing the risk of potentially life-threatening hyperkalemia.","We review the potential nondialysis options for the management of these patients, including the use of the newer K+ binder agents patiromer and sodium zirconium cyclosilicate, which may reduce the need for the highly restrictive dialysis diet, with its own implication on nutritional status in patients with ESRD, as well as reducing the risk of potentially life-threatening hyperkalemia."
"In patients with advanced-stage chronic kidney disease (CKD), progressive kidney function decline leads to increased risk for hyperkalemia (serum potassium > 5.0 or >5.5 mEq/L).","In patients with advanced-stage chronic kidney disease (CKD), progressive kidney function decline leads to increased risk for hyperkalemia (serum potassium > 5.0 or >5.5 mEq/L)."
"This may allow them the health benefits of a high-potassium diet without the increased risk for hyperkalemia, although further studies are needed.","A high-potassium diet may allow them the health benefits of a high-potassium diet without the increased risk for hyperkalemia, although further studies are needed."
"In patients with advanced-stage chronic kidney disease (CKD), progressive kidney function decline leads to increased risk for hyperkalemia (serum potassium > 5.0 or >5.5 mEq/L).","In patients with advanced-stage chronic kidney disease (CKD), progressive kidney function decline leads to increased risk for hyperkalemia (serum potassium > 5.0 or >5.5 mEq/L)."
"This may allow them the health benefits of a high-potassium diet without the increased risk for hyperkalemia, although further studies are needed.","A high-potassium diet may allow them the health benefits of a high-potassium diet without the increased risk for hyperkalemia, although further studies are needed."
Hyperkalemia is an electrolyte abnormality with potentially life-threatening consequences.,Hyperkalemia is an electrolyte abnormality with potentially life-threatening consequences.
