text,has_numerical,has_warning,is_syntactically_complex,has_umls_jargon,complexity_score
"Exercise-Associated Muscle Cramps (EAMC) are a common painful condition of muscle spasms. Despite scientists tried to understand the physiological mechanism that underlies these common phenomena, the etiology is still unclear. From 1900 to nowadays, the scientific world retracted several times the original hypothesis of heat cramps. However, recent literature seems to focus on two potential mechanisms: the dehydration or electrolyte depletion mechanism, and the neuromuscular mechanism. The aim of this review is to examine the recent literature, in terms of physiological mechanisms of EAMC. A comprehensive search was conducted on PubMed and Google Scholar. The following terminology was applied: muscle cramps, neuromuscular hypothesis (or thesis), dehydration hypothesis, Exercise-Associated muscle cramps, nocturnal cramps, muscle spasm, muscle fatigue. From the initial literature of 424 manuscripts, sixty-nine manuscripts were included, analyzed, compared and summarized. Literature analysis indicates that neuromuscular hypothesis may prevails over the initial hypothesis of the dehydration as the trigger event of muscle cramps. New evidence suggests that the action potentials during a muscle cramp are generated in the motoneuron soma, likely accompanied by an imbalance between the rising excitatory drive from the muscle spindles (Ia) and the decreasing inhibitory drive from the Golgi tendon organs. In conclusion, from the latest investigations there seem to be a spinal involvement rather than a peripheral excitation of the motoneurons.",False,False,True,True,2
"Background: Muscle cramp is a painful, involuntary muscle contraction, and that occurs during or following exercise is referred to as exercise-associated muscle cramp (EAMC). The causes of EAMC are likely to be multifactorial, but dehydration and electrolytes deficits are considered to be factors. This study tested the hypothesis that post-exercise muscle cramp susceptibility would be increased with spring water ingestion, but reduced with oral rehydration solution (ORS) ingestion during exercise. Methods: Ten men performed downhill running (DHR) in the heat (35-36 °C) for 40-60 min to reduce 1.5-2% of their body mass in two conditions (spring water vs ORS) in a cross-over design. The body mass was measured at 20 min and every 10 min thereafter during DHR, and 30 min post-DHR. The participants ingested either spring water or ORS for the body mass loss in each period. The two conditions were counter-balanced among the participants and separated by a week. Calf muscle cramp susceptibility was assessed by a threshold frequency (TF) of an electrical train stimulation to induce cramp before, immediately after, 30 and 65 min post-DHR. Blood samples were taken before, immediately after and 65 min after DHR to measure serum sodium, potassium, magnesium and chroride concentrations, hematocrit (Hct), hemoglobin (Hb), and serum osmolarity. Changes in these varaibles over time were compared between conditions by two-way repeated measures of analysis of variance. Results: The average (±SD) baseline TF (25.6 ± 0.7 Hz) was the same between conditions. TF decreased 3.8 ± 2.7 to 4.5 ± 1.7 Hz from the baseline value immediately to 65 min post-DHR for the spring water condition, but increased 6.5 ± 4.9 to 13.6 ± 6.0 Hz in the same time period for the ORS condition (P < 0.05). Hct and Hb did not change significantly (P > 0.05) for both conditions, but osmolarity decreased (P < 0.05) only for the spring water condition. Serum sodium and chloride concentrations decreased (< 2%) at immediately post-DHR for the spring water condition only (P < 0.05). Conclusions: These results suggest that ORS intake during exercise decreased muscle cramp susceptibility. It was concluded that ingesting ORS appeared to be effective for preventing EAMC.",True,False,True,True,3
"Muscle cramp is a temporary but intense and painful involuntary contraction of skeletal muscle that can occur in many different situations. The causes of, and cures for, the cramps that occur during or soon after exercise remain uncertain, although there is evidence that some cases may be associated with disturbances of water and salt balance, while others appear to involve sustained abnormal spinal reflex activity secondary to fatigue of the affected muscles. Evidence in favour of a role for dyshydration comes largely from medical records obtained in large industrial settings, although it is supported by one large-scale intervention trial and by field trials involving small numbers of athletes. Cramp is notoriously unpredictable, making laboratory studies difficult, but experimental models involving electrical stimulation or intense voluntary contractions of small muscles held in a shortened position can induce cramp in many, although not all, individuals. These studies show that dehydration has no effect on the stimulation frequency required to initiate cramping and confirm a role for spinal pathways, but their relevance to the spontaneous cramps that occur during exercise is questionable. There is a long history of folk remedies for treatment or prevention of cramps; some may reduce the likelihood of some forms of cramping and reduce its intensity and duration, but none are consistently effective. It seems likely that there are different types of cramp that are initiated by different mechanisms; if this is the case, the search for a single strategy for prevention or treatment is unlikely to succeed.",False,False,True,False,1
"Muscular cramp is a common symptom in healthy people, especially among the elderly and in young people after vigorous or peak exercise. It is prominent in a number of benign neurological syndromes. It is a particular feature of chronic neurogenic disorders, especially amyotrophic lateral sclerosis. A literature review was undertaken to understand the diverse clinical associations of cramp and its neurophysiological basis, taking into account recent developments in membrane physiology and modulation of motor neuronal excitability. Many aspects of cramping remain incompletely understood and require further study. Current treatment options are correspondingly limited.",False,False,False,True,1
"Muscle cramps result in continuous, involuntary, painful, and localized contraction of an entire muscle group, individual single muscle, or select muscle fibers. Generally, the cramp can last from minutes to a few seconds for idiopathic or known causes with healthy subjects or in the presence of diseases. Palpating the muscle area of the cramp will present a knot. Exercise-associated muscle cramps are the most frequent condition requiring medical/therapeutic intervention during sports. The specific etiology is not well understood and possible causes depend on the physiological or pathological situation in which the cramps appear. It is important to note that a painful contraction that is limited to a specific area does not mean that the cause of the cramp is necessarily local. A cramp is almost never a local effect but involves the whole body system, such as somatic and emotional.",False,False,True,False,1
"The dystonias are a group of disorders characterized by excessive involuntary muscle contractions leading to abnormal postures and/or repetitive movements. A careful assessment of the clinical manifestations is helpful for identifying syndromic patterns that focus diagnostic testing on potential causes. If a cause is identified, specific etiology-based treatments may be available. In most cases, a specific cause cannot be identified, and treatments are based on symptoms. Treatment options include counseling, education, oral medications, botulinum toxin injections, and several surgical procedures. A substantial reduction in symptoms and improved quality of life is achieved in most patients by combining these options.",False,False,True,False,1
"Muscle cramps are a common problem characterized by a sudden, painful, involuntary contraction of muscle. These true cramps, which originate from peripheral nerves, may be distinguished from other muscle pain or spasm. Medical history, physical examination, and a limited laboratory screen help to determine the various causes of muscle cramps. Despite the ""benign"" nature of cramps, many patients find the symptom very uncomfortable. Treatment options are guided both by experience and by a limited number of therapeutic trials. Quinine sulfate is an effective medication, but the side-effect profile is worrisome, and other membrane-stabilizing drugs are probably just as effective. Patients will benefit from further studies to better define the pathophysiology of muscle cramps and to find more effective medications with fewer side-effects.",False,False,True,True,2
"Dystonia is a complex neurological movement disorder characterized by involuntary muscle contractions. Increasing studies implicate the microbiome as a possible key susceptibility factor for neurological disorders, but the relationship between the gut microbiota and dystonia remains poorly explored. Here, the gut microbiota of 57 patients with isolated dystonia and 27 age- and environment-matched healthy controls was analyzed by 16S rRNA gene amplicon sequencing. Further, integrative analysis of the gut microbiome and serum metabolome measured by high-performance liquid chromatography-mass spectrometry was performed. No difference in α-diversity was found, while β-diversity was significantly different, with a more heterogeneous community structure among dystonia patients than among controls. The most significant changes in dystonia highlighted an increase in Clostridiales, including Blautia obeum, Dorea longicatena, and Eubacterium hallii, and a reduction in Bacteroides vulgatus and Bacteroides plebeius. The functional analysis revealed that genes related to tryptophan and purine biosynthesis were more abundant in gut microbiota from patients with dystonia, while genes linked to citrate cycle, vitamin B6, and glycan metabolism were less abundant. The evaluation of serum metabolites revealed altered levels of l-glutamic acid, taurine, and d-tyrosine, suggesting changes in neurotransmitter metabolism. The most modified metabolites strongly inversely correlated with the abundance of members belonging to the Clostridiales, revealing the effect of the gut microbiota on neurometabolic activity. This study is the first to reveal gut microbial dysbiosis in patients with isolated dystonia and identified potential links between gut microbiota and serum neurotransmitters, providing new insight into the pathogenesis of isolated dystonia. IMPORTANCE Dystonia is the third most common movement disorder after essential tremor and Parkinson's disease. However, the cause for the majority of cases is not known. This is the first study so far that reveals significant alterations of gut microbiome and correlates the alteration of serum metabolites with gut dysbiosis in patients with isolated dystonia. We demonstrated a general overrepresentation of Clostridiales and underrepresentation of Bacteroidetes in patients with dystonia in comparison with healthy controls. The functional analysis found that genes related to the biosynthesis of tryptophan, which is the precursor of the neurotransmitter serotonin, were more active in isolated dystonia patients. Altered levels of several serum metabolites were found to be associated with microbial changes, such as d-tyrosine, taurine, and glutamate, indicating differences in neurotransmitter metabolism in isolated dystonia. Integrative analysis suggests that neurotransmitter system dysfunction may be a possible pathway by which the gut microbiome participates in the development of dystonia. The gut microbiome changes provide new insight into the pathogenesis of dystonia, suggesting new potential therapeutic directions.",True,False,True,True,3
"Dystonia is a neurological condition characterized by abnormal involuntary movements or postures owing to sustained or intermittent muscle contractions. Dystonia can be the manifesting neurological sign of many disorders, either in isolation (isolated dystonia) or with additional signs (combined dystonia). The main focus of this Primer is forms of isolated dystonia of idiopathic or genetic aetiology. These disorders differ in manifestations and severity but can affect all age groups and lead to substantial disability and impaired quality of life. The discovery of genes underlying the mendelian forms of isolated or combined dystonia has led to a better understanding of its pathophysiology. In some of the most common genetic dystonias, such as those caused by TOR1A, THAP1, GCH1 and KMT2B mutations, and idiopathic dystonia, these mechanisms include abnormalities in transcriptional regulation, striatal dopaminergic signalling and synaptic plasticity and a loss of inhibition at neuronal circuits. The diagnosis of dystonia is largely based on clinical signs, and the diagnosis and aetiological definition of this disorder remain a challenge. Effective symptomatic treatments with pharmacological therapy (anticholinergics), intramuscular botulinum toxin injection and deep brain stimulation are available; however, future research will hopefully lead to reliable biomarkers, better treatments and cure of this disorder.",False,False,True,False,1
"Background: Skeletal muscle cramps are common and often occur in association with pregnancy, advanced age, exercise or motor neuron disorders (such as amyotrophic lateral sclerosis). Typically, such cramps have no obvious underlying pathology, and so are termed idiopathic. Magnesium supplements are marketed for the prophylaxis of cramps but the efficacy of magnesium for this purpose remains unclear. This is an update of a Cochrane Review first published in 2012, and performed to identify and incorporate more recent studies.",False,False,False,True,1
